HCBG_ID	Similarity
G4O-1141-MONOMER	65.62
G4O-1200-MONOMER	55.17
G4O-1201-MONOMER	63.69
G4O-1202-MONOMER	68.99
G4O-1215-MONOMER	72.11
G4O-1219-MONOMER	55.56
G4O-1228-MONOMER	58.96
G4O-1245-MONOMER	74.67
G4O-1251-MONOMER	81.48
G4O-1531-MONOMER	48.41
G4O-1546-MONOMER	66.41
G4O-1559-MONOMER	64.29
G4O-1600-MONOMER	59.8
G4O-1877-MONOMER	68.42
G4O-233-MONOMER	63.41
G4O-2347-MONOMER	53.33
G4O-2355-MONOMER	80.39
G4O-2364-MONOMER	52.22
G4O-2388-MONOMER	82.99
G4O-2395-MONOMER	80.17
G4O-240-MONOMER	63.01
G4O-2423-MONOMER	84.79
G4O-2424-MONOMER	70.17
G4O-2425-MONOMER	72.5
G4O-2430-MONOMER	82.98
G4O-2435-MONOMER	74.85
G4O-250-MONOMER	70.33
G4O-254-MONOMER	78.52
G4O-261-MONOMER	56.5
G4O-264-MONOMER	61.19
G4O-275-MONOMER	63.21
G4O-277-MONOMER	88.53
G4O-281-MONOMER	75.38
G4O-287-MONOMER	63.06
G4O-309-MONOMER	82.49
G4O-330-MONOMER	71.59
G4O-336-MONOMER	66.3
G4O-351-MONOMER	73.91
G4O-354-MONOMER	63.64
G4O-3665-MONOMER	65.45
G4O-3772-MONOMER	81.36
G4O-3773-MONOMER	62.12
G4O-3785-MONOMER	64.04
G4O-3786-MONOMER	61.72
G4O-3795-MONOMER	75.99
G4O-3798-MONOMER	55.48
G4O-3821-MONOMER	84.9
G4O-3859-MONOMER	83.28
G4O-3862-MONOMER	67.77
G4O-3865-MONOMER	78.25
G4O-3871-MONOMER	83.33
G4O-3884-MONOMER	67.86
G4O-3885-MONOMER	66.49
G4O-3888-MONOMER	61.19
G4O-3903-MONOMER	70.0
G4O-3921-MONOMER	74.51
G4O-3921-MONOMER	79.59
G4O-3928-MONOMER	56.19
G4O-3931-MONOMER	52.83
G4O-4519-MONOMER	60.62
G4O-4535-MONOMER	66.02
G4O-4655-MONOMER	73.68
G4O-4659-MONOMER	76.74
G4O-5450-MONOMER	68.75
G4O-5455-MONOMER	60.38
G4O-5463-MONOMER	81.55
G4O-5476-MONOMER	90.64
G4O-5480-MONOMER	50.85
G4O-5486-MONOMER	69.86
G4O-5496-MONOMER	67.84
G4O-5782-MONOMER	63.03
G4O-5784-MONOMER	56.48
G4O-6002-MONOMER	51.43
G4O-6022-MONOMER	67.33
G4O-6032-MONOMER	65.31
G4O-6036-MONOMER	65.84
G4O-7346-MONOMER	75.61
G4O-7362-MONOMER	82.95
G4O-7398-MONOMER	73.41
G4O-7401-MONOMER	64.71
G4O-7408-MONOMER	76.47
G4O-7629-MONOMER	79.83
G4O-7638-MONOMER	78.17
G4O-7806-MONOMER	66.13
G4O-7810-MONOMER	61.11
G4O-7841-MONOMER	77.65
G4O-7947-MONOMER	72.14
G4O-8438-MONOMER	59.3
G4O-8438-MONOMER	56.98
